freq,unit,coicop,geo\TIME_PERIOD,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12
M,I05,CP00,EA20,142.12,143.26,144.56,145.48,145.52,145.9,145.76,146.56,147.03,147.16,146.34,146.58,146.05,146.96,148.07,148.93,149.25,149.57,149.53,149.73,149.59,150.11,149.62,150.15,149.73,150.37,151.29,152.15,152.07,152.53,152.57,152.8,152.93,153.26,152.81,153.09
M,I05,CP01,EA20,158.11,161.1,163.05,163.14,163.7,164.16,164.29,164.23,164.33,164.73,165.38,165.43,166.65,166.4,166.35,166.68,167.02,167.11,166.91,166.96,167.13,168.39,168.71,168.5,169.35,170.06,170.58,171.24,171.88,171.96,172.28,172.3,172.16,172.5,172.61,172.65
M,I05,CP04,EA20,171.67,170.88,168.97,167.98,167.72,166.92,166.47,167.63,168.06,168.13,167.49,167.67,169.69,170.19,169.9,169.41,169.33,169.79,170.83,171.0,171.06,171.57,172.06,172.59,175.0,174.73,174.75,173.39,173.07,173.08,174.05,173.92,174.04,174.24,174.65,174.73
M,I05,CP07,EA20,149.28,150.2,150.55,152.53,150.18,150.84,152.92,154.96,154.84,154.33,151.79,151.52,150.61,152.66,153.81,155.24,154.45,153.88,155.55,154.89,151.52,152.37,151.65,153.32,153.59,154.24,153.55,155.19,153.2,154.31,156.28,156.01,154.02,154.99,154.5,155.47
M,I05,CP09,EA20,115.55,117.51,119.01,119.7,120.27,121.69,124.12,124.9,122.83,122.14,120.12,121.88,119.4,121.12,122.26,122.65,123.76,124.8,127.23,127.94,125.82,125.32,122.79,124.9,122.76,123.99,124.28,125.48,125.37,126.27,128.24,129.3,127.21,126.94,125.24,126.41
M,I05,CP11,EA20,151.2,152.69,153.91,157.09,158.54,160.02,162.78,163.61,161.57,161.1,158.67,158.98,159.39,160.81,162.09,164.72,166.79,168.19,170.61,171.54,169.26,168.43,165.73,166.23,165.98,167.1,168.41,171.48,172.81,174.55,176.52,177.32,175.41,174.6,171.99,172.45
M,I05,CP12,EA20,138.81,139.54,140.08,140.79,141.24,141.77,141.9,142.28,142.54,142.69,142.83,143.11,144.8,145.37,145.78,146.77,147.03,147.56,147.76,148.04,148.38,148.88,149.2,149.53,150.92,151.52,152.18,152.75,153.15,153.55,153.78,153.93,154.2,154.54,154.73,155.02
M,I15,CP00,EA20,120.28,121.25,122.35,123.13,123.17,123.48,123.37,124.04,124.44,124.55,123.86,124.06,123.62,124.38,125.32,126.05,126.32,126.59,126.56,126.73,126.61,127.05,126.63,127.08,126.73,127.27,128.05,128.78,128.71,129.1,129.13,129.32,129.44,129.72,129.34,129.57
M,I15,CP01,EA20,130.43,132.9,134.51,134.59,135.04,135.42,135.53,135.48,135.57,135.9,136.43,136.47,137.48,137.28,137.23,137.51,137.78,137.86,137.69,137.73,137.87,138.91,139.18,139.01,139.71,140.29,140.72,141.27,141.79,141.86,142.12,142.14,142.02,142.31,142.4,142.43
M,I15,CP04,EA20,132.79,132.18,130.71,129.94,129.74,129.12,128.77,129.67,130.0,130.05,129.56,129.7,131.26,131.64,131.42,131.05,130.98,131.34,132.14,132.28,132.32,132.72,133.09,133.5,135.37,135.16,135.18,134.12,133.88,133.89,134.63,134.54,134.63,134.78,135.1,135.16
M,I15,CP07,EA20,123.81,124.58,124.86,126.51,124.56,125.11,126.83,128.52,128.42,128.0,125.89,125.67,124.92,126.62,127.57,128.75,128.1,127.63,129.02,128.46,125.67,126.38,125.78,127.16,127.39,127.92,127.35,128.72,127.06,127.99,129.62,129.39,127.74,128.55,128.14,128.95
M,I15,CP09,EA20,109.75,111.62,113.04,113.7,114.24,115.58,117.89,118.64,116.67,116.01,114.09,115.76,113.41,115.04,116.13,116.5,117.55,118.53,120.84,121.52,119.5,119.03,116.63,118.63,116.6,117.77,118.05,119.18,119.08,119.93,121.81,122.82,120.83,120.57,118.96,120.07
M,I15,CP11,EA20,122.15,123.35,124.34,126.9,128.08,129.27,131.5,132.17,130.52,130.15,128.18,128.43,128.76,129.91,130.95,133.07,134.74,135.87,137.82,138.58,136.74,136.06,133.89,134.29,134.09,134.99,136.05,138.53,139.6,141.01,142.6,143.24,141.7,141.05,138.94,139.31
M,I15,CP12,EA20,115.11,115.71,116.16,116.75,117.12,117.56,117.66,117.98,118.19,118.32,118.44,118.67,120.07,120.54,120.88,121.7,121.92,122.36,122.53,122.76,123.04,123.46,123.72,123.99,125.14,125.64,126.19,126.66,127.0,127.33,127.52,127.64,127.86,128.15,128.3,128.54
